VALUE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MAJORITY_COUNT,MAJORITY_PERCENT,MINORITY,MINORITY_COUNT,MINORITY_PERCENT,MEDIAN,PCT90
132,5968.000000000000000,0.414444444444441,0,19363,19363,259.904993297587851,691.810718740954258,1551113.000000000000000,919,0,1613,27.0275002,58,1,0.0168000,95,630
133,25273.000000000000000,1.755069444444430,0,12894,12894,92.227990345427656,367.605624814243981,2330878.000000000000000,1272,0,17227,68.1636963,2,1,0.0040000,0,211
134,13463.000000000000000,0.934930555555548,0,16222,16222,136.667756072198131,415.647762216074398,1839958.000000000000000,903,0,6454,47.9388008,11,1,0.0074000,4,379
135,4708.000000000000000,0.326944444444442,0,11451,11451,190.633602378929396,509.822426264309911,897503.000000000000000,740,0,1905,40.4630013,5,1,0.0212000,32,487
136,483.000000000000000,0.033541666666666,0,3309,3309,108.217391304347800,329.705653826942353,52269.000000000000000,130,0,274,56.7288017,2,1,0.2070000,0,285
137,7528.000000000000000,0.522777777777774,0,20537,20537,180.695669500531949,552.068673844223781,1360277.000000000000000,862,0,3741,49.6945000,2,1,0.0133000,4,487
138,20501.000000000000000,1.423680555555544,0,19130,19130,98.133456904542157,384.762934066595164,2011834.000000000000000,1166,0,14295,69.7283020,29,1,0.0049000,0,278
139,3759.000000000000000,0.261041666666665,0,9571,9571,368.085129023676529,703.142757079899184,1383632.000000000000000,997,0,603,16.0415001,29,1,0.0266000,162,890
140,6397.000000000000000,0.444236111111108,0,16289,16289,223.856807878692933,623.145800668707693,1432012.000000000000000,873,0,1819,28.4351997,33,1,0.0156000,54,572
141,7083.000000000000000,0.491874999999996,0,25013,25013,167.208809826345203,810.792974163754820,1184340.000000000000000,847,0,4372,61.7252998,96,1,0.0141000,0,370
